word,count,en,sentiment
tres,12626,Very,POSITIVE
vehicule,8204,Vehicle,MIXED
voiture,4936,Car,POSITIVE
livraison,4556,Delivery,MIXED
bien,4415,Well,MIXED
ete,4276,Summer,MIXED
tout,3675,All,MIXED
achat,3373,Purchase,POSITIVE
merci,3132,Thank you.,POSITIVE
accueil,3090,Welcome,POSITIVE
bon,2990,Good,POSITIVE
recommande,2899,Recommended,MIXED
plus,2678,More,MIXED
service,2561,Service,NEGATIVE
ecoute,2084,Listen,MIXED
fait,1996,Made,MIXED
experience,1972,Experience,MIXED
commande,1962,Command,MIXED
etait,1946,Was,POSITIVE
bonne,1920,Good,POSITIVE
apres,1902,After,NEGATIVE
rapide,1881,Fast,MIXED
equipe,1765,Team,MIXED
sans,1747,Without,MIXED
tres bon,1744,Very good,POSITIVE
chez,1684,At,MIXED
tres bien,1640,Very well,POSITIVE
site,1568,Website,MIXED
commercial,1489,Commercial,NEGATIVE
satisfait,1434,Satisfied,POSITIVE
meme,1417,Even,MIXED
faire,1343,Do,MIXED
toujours,1324,Always,MIXED
rien,1304,Nothing,NEGATIVE
avoir,1284,Have,POSITIVE
recu,1281,Received,POSITIVE
client,1251,Client,NEGATIVE
prix,1198,Price,MIXED
bon accueil,1183,Good Reception,POSITIVE
professionnel,1176,Professional,MIXED
temps,1160,Time,NEGATIVE
cette,1160,This,MIXED
suivi,1125,Follow-up,POSITIVE
conforme,1120,Compliant,POSITIVE
parfait,1097,Perfect,POSITIVE
personnel,1057,Staff,NEGATIVE
car,1052,Because,MIXED
carte,1049,Map,MIXED
professionnalisme,1041,Professionalism,MIXED
comme,1034,Like,MIXED
donc,1014,So,POSITIVE
vente,1005,Sales,POSITIVE
top,1004,Top,POSITIVE
passe,1002,Pass,MIXED
probleme,996,Problem,NEGATIVE
livre,993,Book,POSITIVE
prise,976,Take,MIXED
mois,973,Month,MIXED
dossier,965,File,NEGATIVE
auto,957,Auto,MIXED
jours,944,Days,MIXED
achete,935,Purchased,MIXED
etre,932,Be,MIXED
renaît,932,Reborn,POSITIVE
grise,928,Grey,MIXED
tres bonne,919,Very good,POSITIVE
super,917,Great,POSITIVE
carte grise,915,Registration,MIXED
tous,910,All,POSITIVE
efficace,901,Effective,POSITIVE
avant,887,Before,MIXED
autour,877,Around,MIXED
demande,873,Request,MIXED
toute,864,All,MIXED
vendeur,854,Seller,MIXED
fois,847,Times,MIXED
tres bon accueil,846,Very good reception,POSITIVE
avais,841,I have not,MIXED
charge,814,Load,MIXED
qualité,804,Quality,POSITIVE
garage,794,Garage,MIXED
toutes,790,All,POSITIVE
serieux,788,Serious,MIXED
